Inference for Stan model: MODEL-MIX_pvl_vs_pvl_d.
3 chains, each with iter=130; warmup=100; thin=1; 
post-warmup draws per chain=30, total post-warmup draws=90.

                        mean se_mean     sd     2.5%      25%      50%      75%    97.5% n_eff          Rhat
lp_tmp[1,1,2]          -1.55    0.01   0.12    -1.84    -1.62    -1.51    -1.45    -1.39    90  1.050000e+00
lp_tmp[1,1,3]          -1.10    0.02   0.18    -1.38    -1.23    -1.12    -0.96    -0.74    90  1.050000e+00
lp_tmp[1,1,4]          -1.02    0.02   0.20    -1.38    -1.17    -1.01    -0.87    -0.63    90  1.020000e+00
lp_tmp[1,1,5]          -1.67    0.02   0.19    -2.13    -1.79    -1.65    -1.53    -1.39    90  1.010000e+00
lp_tmp[1,1,6]          -1.51    0.01   0.09    -1.71    -1.56    -1.49    -1.45    -1.39    90  1.010000e+00
lp_tmp[1,1,7]          -1.54    0.01   0.10    -1.76    -1.59    -1.52    -1.46    -1.39    90  1.020000e+00
lp_tmp[1,1,8]          -1.45    0.01   0.06    -1.57    -1.49    -1.44    -1.42    -1.38    90  1.010000e+00
lp_tmp[1,1,9]          -1.03    0.02   0.18    -1.38    -1.15    -1.02    -0.90    -0.71    90  1.030000e+00
lp_tmp[1,1,10]         -0.98    0.02   0.19    -1.38    -1.10    -0.96    -0.87    -0.65    90  1.020000e+00
lp_tmp[1,1,11]         -1.60    0.02   0.14    -1.89    -1.70    -1.58    -1.49    -1.39    90  1.060000e+00
lp_tmp[1,1,12]         -1.48    0.01   0.08    -1.65    -1.52    -1.46    -1.42    -1.38    90  1.010000e+00
lp_tmp[1,1,13]         -0.95    0.02   0.20    -1.37    -1.06    -0.93    -0.84    -0.62    90  1.020000e+00
lp_tmp[1,1,14]         -0.93    0.02   0.20    -1.37    -1.03    -0.90    -0.80    -0.59    90  1.030000e+00
lp_tmp[1,1,15]         -0.90    0.02   0.20    -1.37    -0.99    -0.89    -0.78    -0.57    90  1.030000e+00
