Inference for Stan model: model.
10 chains, each with iter=2500; warmup=500; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=20000.

                mean se_mean     sd     2.5%      25%      50%      75%    97.5% n_eff  Rhat
predyg[2,7]    1.417   0.014  1.257    0.000    0.000    1.000    2.000    4.000  8140 1.001
predyg[2,8]    1.136   0.015  1.196    0.000    0.000    1.000    2.000    4.000  6152 1.001
predyg[3,1]    4.001   0.010  1.405    1.000    3.000    4.000    5.000    7.000 20000 1.000
predyg[3,2]    4.001   0.010  1.416    1.000    3.000    4.000    5.000    7.000 20000 1.000
predyg[3,3]    4.001   0.010  1.421    1.000    3.000    4.000    5.000    7.000 20000 1.000
predyg[3,4]    4.008   0.010  1.413    1.000    3.000    4.000    5.000    7.000 20000 1.000
predyg[3,5]    4.018   0.010  1.409    1.000    3.000    4.000    5.000    7.000 20000 1.000
predyg[3,6]    3.985   0.010  1.423    1.000    3.000    4.000    5.000    7.000 20000 1.000
predyg[3,7]    3.994   0.010  1.410    1.000    3.000    4.000    5.000    7.000 20000 1.000
predyg[3,8]    3.993   0.010  1.431    1.000    3.000    4.000    5.000    7.000 20000 1.000
z[1]           1.991   0.007  0.105    2.000    2.000    2.000    2.000    2.000   232 1.044
z[2]           1.024   0.001  0.153    1.000    1.000    1.000    1.000    1.000 20000 1.049
z[3]           2.000   0.000  0.020    2.000    2.000    2.000    2.000    2.000 20000 1.001
z[4]           2.000   0.000  0.000    2.000    2.000    2.000    2.000    2.000 20000   NaN
z[5]           2.000   0.000  0.000    2.000    2.000    2.000    2.000    2.000 20000   NaN
z[6]           2.000   0.000  0.007    2.000    2.000    2.000    2.000    2.000 20000 1.000
z[7]           1.982   0.026  0.234    1.000    2.000    2.000    2.000    2.000    79 1.109
z[8]           2.000   0.000  0.000    2.000    2.000    2.000    2.000    2.000 20000   NaN
z[9]           1.999   0.000  0.035    2.000    2.000    2.000    2.000    2.000 20000 1.001
z[10]          2.000   0.000  0.000    2.000    2.000    2.000    2.000    2.000 20000   NaN
z[11]          2.000   0.000  0.000    2.000    2.000    2.000    2.000    2.000 20000   NaN
z[12]          2.000   0.000  0.007    2.000    2.000    2.000    2.000    2.000 20000 1.000
z[13]          2.000   0.000  0.007    2.000    2.000    2.000    2.000    2.000 20000 1.000
z[14]          1.994   0.001  0.080    2.000    2.000    2.000    2.000    2.000 20000 1.017
z[15]          2.022   0.002  0.155    2.000    2.000    2.000    2.000    2.000  6682 1.002
z[16]          2.000   0.000  0.000    2.000    2.000    2.000    2.000    2.000 20000   NaN
z[17]          2.000   0.000  0.000    2.000    2.000    2.000    2.000    2.000 20000   NaN
z[18]          2.000   0.000  0.000    2.000    2.000    2.000    2.000    2.000 20000   NaN
z[19]          2.000   0.000  0.012    2.000    2.000    2.000    2.000    2.000 20000 1.000
z[20]          2.000   0.000  0.000    2.000    2.000    2.000    2.000    2.000 20000   NaN
z[21]          2.002   0.000  0.050    2.000    2.000    2.000    2.000    2.000 20000 1.000
z[22]          2.595   0.025  0.501    2.000    2.000    3.000    3.000    3.000   398 1.021
z[23]          1.614   0.208  0.912    1.000    1.000    1.000    3.000    3.000    19 1.335
z[24]          1.086   0.038  0.329    1.000    1.000    1.000    1.000    2.000    74 1.137
z[25]          1.072   0.002  0.260    1.000    1.000    1.000    1.000    2.000 20000 1.237
z[26]          2.000   0.000  0.000    2.000    2.000    2.000    2.000    2.000 20000   NaN
z[27]          1.035   0.030  0.257    1.000    1.000    1.000    1.000    1.000    71 1.179
z[28]          2.000   0.000  0.000    2.000    2.000    2.000    2.000    2.000 20000   NaN
z[29]          2.665   0.145  0.733    1.000    3.000    3.000    3.000    3.000    25 1.140
z[30]          1.988   0.001  0.111    2.000    2.000    2.000    2.000    2.000 20000 1.107
z[31]          2.913   0.024  0.348    2.000    3.000    3.000    3.000    3.000   208 1.033
z[32]          1.993   0.001  0.083    2.000    2.000    2.000    2.000    2.000 20000 1.060
z[33]          1.000   0.000  0.000    1.000    1.000    1.000    1.000    1.000 20000   NaN
z[34]          1.001   0.000  0.042    1.000    1.000    1.000    1.000    1.000 20000 1.000
z[35]          2.000   0.000  0.007    2.000    2.000    2.000    2.000    2.000 20000 1.000
z[36]          2.072   0.012  0.260    2.000    2.000    2.000    2.000    3.000   492 1.021
z[37]          1.998   0.000  0.045    2.000    2.000    2.000    2.000    2.000 20000 1.012
z[38]          2.768   0.040  0.539    1.000    3.000    3.000    3.000    3.000   185 1.034
z[39]          1.000   0.000  0.000    1.000    1.000    1.000    1.000    1.000 20000   NaN
z[40]          2.673   0.109  0.660    1.000    3.000    3.000    3.000    3.000    37 1.191
lp__        -565.869   0.733 18.280 -603.344 -578.376 -564.874 -552.286 -534.070   622 1.017
